source,cell_id,chemistry,nominal_Ah,T_degC,c_rate,capacite_Ah
catenaro2021,LFP_k1,LFP,2.5,5.0,0.05,2.53657
catenaro2021,LFP_k1,LFP,2.5,5.0,1.0,2.27921
catenaro2021,LFP_k1,LFP,2.5,5.0,2.0,2.25597
catenaro2021,LFP_k1,LFP,2.5,5.0,3.0,2.31662
catenaro2021,LFP_k1,LFP,2.5,5.0,5.0,2.41535
catenaro2021,LFP_k1,LFP,2.5,5.0,10.0,1.87955
catenaro2021,LFP_k1,LFP,2.5,5.0,15.0,0.11724
catenaro2021,LFP_k1,LFP,2.5,5.0,20.0,0.02529
catenaro2021,LFP_k1,LFP,2.5,25.0,0.05,2.57149
catenaro2021,LFP_k1,LFP,2.5,25.0,1.0,2.54826
catenaro2021,LFP_k1,LFP,2.5,25.0,2.0,2.52713
catenaro2021,LFP_k1,LFP,2.5,25.0,3.0,2.51227
catenaro2021,LFP_k1,LFP,2.5,25.0,5.0,2.51692
catenaro2021,LFP_k1,LFP,2.5,25.0,10.0,2.50647
catenaro2021,LFP_k1,LFP,2.5,25.0,15.0,2.49304
catenaro2021,LFP_k1,LFP,2.5,25.0,20.0,2.4132
catenaro2021,LFP_k1,LFP,2.5,35.0,0.05,2.57429
catenaro2021,LFP_k1,LFP,2.5,35.0,1.0,2.5542
catenaro2021,LFP_k1,LFP,2.5,35.0,2.0,2.54109
catenaro2021,LFP_k1,LFP,2.5,35.0,3.0,2.53316
catenaro2021,LFP_k1,LFP,2.5,35.0,5.0,2.52844
catenaro2021,LFP_k1,LFP,2.5,35.0,10.0,2.50674
catenaro2021,LFP_k1,LFP,2.5,35.0,15.0,2.47468
catenaro2021,LFP_k1,LFP,2.5,35.0,20.0,2.38966
catenaro2021,LFP_k2,LFP,2.5,5.0,0.05,2.5001
catenaro2021,LFP_k2,LFP,2.5,5.0,1.0,2.44559
catenaro2021,LFP_k2,LFP,2.5,5.0,2.0,2.45667
catenaro2021,LFP_k2,LFP,2.5,5.0,3.0,2.46395
catenaro2021,LFP_k2,LFP,2.5,5.0,5.0,2.15389
catenaro2021,LFP_k2,LFP,2.5,5.0,10.0,2.2716
catenaro2021,LFP_k2,LFP,2.5,5.0,15.0,2.32431
catenaro2021,LFP_k2,LFP,2.5,5.0,20.0,2.3427
catenaro2021,LFP_k2,LFP,2.5,25.0,0.05,2.50589
catenaro2021,LFP_k2,LFP,2.5,25.0,1.0,2.47094
catenaro2021,LFP_k2,LFP,2.5,25.0,2.0,2.45403
catenaro2021,LFP_k2,LFP,2.5,25.0,3.0,2.47371
catenaro2021,LFP_k2,LFP,2.5,25.0,5.0,2.4563
catenaro2021,LFP_k2,LFP,2.5,25.0,10.0,2.44168
catenaro2021,LFP_k2,LFP,2.5,25.0,15.0,2.42394
catenaro2021,LFP_k2,LFP,2.5,25.0,20.0,2.40899
catenaro2021,LFP_k2,LFP,2.5,35.0,0.05,2.53415
catenaro2021,LFP_k2,LFP,2.5,35.0,1.0,2.51503
catenaro2021,LFP_k2,LFP,2.5,35.0,2.0,2.50181
catenaro2021,LFP_k2,LFP,2.5,35.0,3.0,2.49297
catenaro2021,LFP_k2,LFP,2.5,35.0,5.0,2.4807
catenaro2021,LFP_k2,LFP,2.5,35.0,10.0,2.45084
catenaro2021,LFP_k2,LFP,2.5,35.0,15.0,2.42112
catenaro2021,LFP_k2,LFP,2.5,35.0,20.0,2.38975
catenaro2021,LFP_k3,LFP,2.5,5.0,0.05,2.33512
catenaro2021,LFP_k3,LFP,2.5,5.0,1.0,2.3151
catenaro2021,LFP_k3,LFP,2.5,5.0,2.0,2.34975
catenaro2021,LFP_k3,LFP,2.5,5.0,3.0,2.41743
catenaro2021,LFP_k3,LFP,2.5,5.0,5.0,2.48095
catenaro2021,LFP_k3,LFP,2.5,5.0,10.0,2.48989
catenaro2021,LFP_k3,LFP,2.5,5.0,15.0,2.49139
catenaro2021,LFP_k3,LFP,2.5,5.0,20.0,0.13389
catenaro2021,LFP_k3,LFP,2.5,25.0,0.05,2.57171
catenaro2021,LFP_k3,LFP,2.5,25.0,1.0,2.54938
catenaro2021,LFP_k3,LFP,2.5,25.0,2.0,2.54193
catenaro2021,LFP_k3,LFP,2.5,25.0,3.0,2.54442
catenaro2021,LFP_k3,LFP,2.5,25.0,5.0,2.52611
catenaro2021,LFP_k3,LFP,2.5,25.0,10.0,2.5212
catenaro2021,LFP_k3,LFP,2.5,25.0,15.0,2.51392
catenaro2021,LFP_k3,LFP,2.5,25.0,20.0,2.46152
catenaro2021,LFP_k3,LFP,2.5,35.0,0.05,2.59686
catenaro2021,LFP_k3,LFP,2.5,35.0,1.0,2.58212
catenaro2021,LFP_k3,LFP,2.5,35.0,2.0,2.57272
catenaro2021,LFP_k3,LFP,2.5,35.0,3.0,2.57071
catenaro2021,LFP_k3,LFP,2.5,35.0,5.0,2.55412
catenaro2021,LFP_k3,LFP,2.5,35.0,10.0,2.53791
catenaro2021,LFP_k3,LFP,2.5,35.0,15.0,2.52515
catenaro2021,LFP_k3,LFP,2.5,35.0,20.0,2.37126
catenaro2021,LFP_k4,LFP,2.5,5.0,0.05,2.55437
catenaro2021,LFP_k4,LFP,2.5,5.0,1.0,2.37552
catenaro2021,LFP_k4,LFP,2.5,5.0,2.0,2.38402
catenaro2021,LFP_k4,LFP,2.5,5.0,3.0,2.4117
catenaro2021,LFP_k4,LFP,2.5,5.0,5.0,2.45131
catenaro2021,LFP_k4,LFP,2.5,5.0,10.0,2.4304
catenaro2021,LFP_k4,LFP,2.5,5.0,15.0,2.41389
catenaro2021,LFP_k4,LFP,2.5,5.0,20.0,0.00982
catenaro2021,LFP_k4,LFP,2.5,25.0,0.05,2.55162
catenaro2021,LFP_k4,LFP,2.5,25.0,1.0,2.53843
catenaro2021,LFP_k4,LFP,2.5,25.0,2.0,2.53081
catenaro2021,LFP_k4,LFP,2.5,25.0,3.0,2.53044
catenaro2021,LFP_k4,LFP,2.5,25.0,5.0,2.51377
catenaro2021,LFP_k4,LFP,2.5,25.0,10.0,2.50822
catenaro2021,LFP_k4,LFP,2.5,25.0,15.0,2.49777
catenaro2021,LFP_k4,LFP,2.5,25.0,20.0,2.38192
