source,cell_id,chemistry,nominal_Ah,T_degC,c_rate_charge,c_rate_discharge,cycle,soh_pct
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,0,91.8415
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,200,86.3588
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,300,85.7089
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,400,83.629
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,500,82.1468
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,600,81.1385
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,700,80.1075
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,800,79.1111
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,900,77.8446
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1000,77.3429
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1100,76.4518
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1200,75.2825
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1300,74.4495
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1400,73.8944
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,73.0484
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,71.9541
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,71.0292
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,69.4782
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,69.1928
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,67.8783
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,67.3678
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,66.3159
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,65.0846
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,64.76
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,63.8926
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,62.9109
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,62.2975
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2800,61.6503
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2900,60.691
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3000,59.9864
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3100,59.4545
wheeler2025_A123_18650_LFP,Cell1a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3200,58.713
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,0,90.5998
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,100,88.4627
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,200,84.9627
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,300,83.5287
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,400,81.6946
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,500,80.9339
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,600,79.2708
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,700,77.8921
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,800,77.5107
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,900,75.8244
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1000,74.5472
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1100,73.1075
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1200,70.3395
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1300,69.3508
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1400,68.1205
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,67.2586
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,65.5446
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,64.3391
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,63.1745
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,62.0091
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,61.1981
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,60.2596
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,59.0819
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,58.4644
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,57.5448
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,56.7671
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,55.91
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,55.1484
